[Data]

PosX0-Y0 = X :0   Y :0    Z :0    Status:1
PosX0-Y1 = X :0   Y :0    Z :0    Status:1
PosX0-Y2 = X :0   Y :0    Z :0    Status:1
PosX0-Y3 = X :0   Y :0    Z :0    Status:1
PosX0-Y4 = X :0   Y :0    Z :0    Status:1
PosX1-Y0 = X :0   Y :0    Z :0    Status:1
PosX1-Y1 = X :0   Y :0    Z :0    Status:1
PosX1-Y2 = X :0   Y :0    Z :0    Status:1
PosX1-Y3 = X :0   Y :0    Z :0    Status:1
PosX1-Y4 = X :0   Y :0    Z :0    Status:1
PosX2-Y0 = X :0   Y :0    Z :0    Status:1
PosX2-Y1 = X :0   Y :0    Z :0    Status:1
PosX2-Y2 = X :0   Y :0    Z :0    Status:1
PosX2-Y3 = X :0   Y :0    Z :0    Status:1
PosX2-Y4 = X :0   Y :0    Z :0    Status:1
PosX3-Y0 = X :0   Y :0    Z :0    Status:1
PosX3-Y1 = X :0   Y :0    Z :0    Status:1
PosX3-Y2 = X :0   Y :0    Z :0    Status:1
PosX3-Y3 = X :0   Y :0    Z :0    Status:1
PosX3-Y4 = X :0   Y :0    Z :0    Status:1
PosX4-Y0 = X :0   Y :0    Z :0    Status:1
PosX4-Y1 = X :0   Y :0    Z :0    Status:1
PosX4-Y2 = X :0   Y :0    Z :0    Status:1
PosX4-Y3 = X :0   Y :0    Z :0    Status:1
PosX4-Y4 = X :0   Y :0    Z :0    Status:1
